session.no,Date,Time,Weather,Remarks,rhino.no,Remarks,food.presence,Remarks,food.presence.index,Interval,feed-on,not.feed-on,feed-not.on,not.feed-not.on,mynah.no,Remarks
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,2,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,3,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,4,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,5,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,6,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,7,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,8,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,9,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,10,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,11,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,12,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,13,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,14,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,15,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,16,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,17,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,18,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,19,0,0,0,0,0,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,20,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,1,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,2,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,3,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,4,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,5,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,6,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,7,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,8,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,9,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,10,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,11,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,12,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,13,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,14,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,15,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,16,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,17,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,18,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,19,0,0,0,0,0,
4,15/07/2022 (Fri),10:00 AM,Sunny,,7,,Yes,,3,20,0,0,0,0,0,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,1,0,2,0,4,6,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,2,0,2,1,7,10,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,3,1,4,0,10,15,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,4,2,1,0,10,13,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,5,2,0,1,8,11,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,6,1,0,1,6,8,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,7,1,1,0,4,6,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,8,1,1,1,2,5,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,9,1,0,1,4,6,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,10,1,1,2,3,7,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,11,1,2,0,3,6,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,12,1,1,0,6,8,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,13,1,1,0,4,6,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,14,0,2,0,4,6,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,15,1,2,1,10,14,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,16,1,1,0,7,9,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,17,1,0,1,12,14,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,18,1,0,1,7,9,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,19,3,1,0,10,14,
5,15/07/2022 (Fri),2:00 PM,Cloudy,,7,,Yes,,3,20,1,3,1,9,14,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,1,1,1,0,0,2,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,2,0,1,0,0,1,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,3,0,1,0,0,1,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,4,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,5,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,6,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,7,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,8,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,9,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,10,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,11,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,12,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,13,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,14,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,15,0,1,0,0,1,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,16,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,17,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,18,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,19,0,0,0,0,0,
6,15/07/2022 (Fri),5:00 PM,Cloudy,,7,,Yes,Very few strands on ground,1,20,0,0,0,0,0,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,1,2,0,0,5,7,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,2,0,0,0,7,7,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,3,0,0,0,6,6,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,4,2,2,0,4,8,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,5,2,2,0,4,8,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,6,1,3,0,5,9,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,7,1,3,0,0,4,A keeper scared the mynahs away during this interval.
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,8,0,0,0,0,0,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,9,0,0,0,0,0,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,10,0,0,0,0,0,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,11,0,0,0,0,0,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,12,0,0,0,0,0,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,13,0,1,0,0,1,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,14,0,0,0,2,2,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,15,2,0,0,0,2,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,16,1,1,0,0,2,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,17,0,0,0,1,1,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,18,1,1,0,1,3,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,19,0,0,0,1,1,
7,18/07/2022 (Mon),2:00 PM,Sunny,,7,,Yes,,3,20,2,0,0,1,3,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,1,2,1,0,2,5,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,2,2,1,1,1,5,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,3,2,1,0,4,7,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,4,0,2,0,3,5,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,5,2,2,1,4,9,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,6,0,4,1,0,5,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,7,1,1,0,4,6,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,8,2,4,0,7,13,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,9,2,1,1,8,12,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,10,2,2,0,10,14,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,11,2,3,1,8,14,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,12,2,4,1,7,14,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,13,1,2,0,11,14,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,14,2,2,0,8,12,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,15,1,2,0,5,8,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,16,0,2,0,3,5,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,17,0,0,2,2,4,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,18,1,2,0,4,7,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,19,1,5,2,1,9,
8,18/07/2022 (Mon),5:00 PM,Cloudy,Slightly sunny,7,,Yes,Few strands on ground,1,20,0,5,0,4,9,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,1,0,1,0,6,7,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,2,0,1,1,8,10,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,3,0,2,0,8,10,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,4,0,0,0,7,7,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,5,0,0,0,6,6,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,6,0,0,0,11,11,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,7,0,0,0,11,11,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,8,0,4,0,6,10,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,9,0,0,0,8,8,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,10,0,0,0,8,8,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,11,0,0,0,6,6,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,12,0,0,0,12,12,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,13,0,0,0,10,10,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,14,0,1,0,7,8,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,15,0,0,0,11,11,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,16,0,0,0,7,7,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,17,1,0,0,3,4,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,18,0,0,0,3,3,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,19,0,0,0,4,4,
9,19/07/2022 (Tue),2:00 PM,Sunny,A bit cloudy at times,7,,Yes,,3,20,0,0,0,3,3,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,1,0,0,0,0,0,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,2,0,0,0,0,0,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,3,0,0,0,0,0,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,4,0,0,0,0,0,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,5,0,0,0,0,0,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,6,0,1,0,0,1,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,7,0,2,0,0,2,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,8,0,1,0,0,1,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,9,0,2,0,0,2,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,10,0,4,0,0,4,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,11,0,1,0,2,3,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,12,0,1,0,3,4,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,13,0,1,0,7,8,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,14,0,1,0,4,5,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,15,0,0,0,2,2,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,16,0,0,0,0,0,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,17,0,1,0,0,1,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,18,0,1,0,0,1,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,19,0,1,0,0,1,
10,19/07/2022 (Tue),5:00 PM,Sunny,,3,,Yes,Few strands on ground,1,20,0,1,0,0,1,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,1,1,1,0,18,20,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,2,0,0,0,23,23,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,3,1,2,0,17,20,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,4,3,2,0,16,21,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,5,1,0,0,19,20,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,6,1,1,0,21,23,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,7,1,1,1,13,16,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,8,0,1,0,15,16,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,9,1,3,0,9,13,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,10,0,4,0,11,15,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,11,0,2,1,14,17,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,12,1,1,1,20,23,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,13,1,0,0,17,18,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,14,1,3,0,11,15,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,15,3,2,0,11,16,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,16,2,3,0,7,12,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,17,2,0,0,12,14,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,18,1,0,0,12,13,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,19,2,0,0,15,17,
11,20/07/2022 (Wed),2:00 PM,Cloudy,,7,,Yes,,3,20,1,0,0,18,19,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,1,0,0,1,8,9,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,2,0,0,0,15,15,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,3,0,0,0,5,5,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,4,0,1,0,5,6,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,5,0,1,0,2,3,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,6,0,1,0,0,1,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,7,0,3,0,0,3,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,8,0,1,0,0,1,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,9,0,1,0,1,2,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,10,0,1,0,0,1,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,11,0,0,0,1,1,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,12,0,1,0,0,1,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,13,0,0,0,2,2,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,14,0,0,0,4,4,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,15,0,0,0,0,0,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,16,0,0,0,0,0,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,17,0,0,0,0,0,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,18,0,0,0,0,0,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,19,0,0,0,0,0,
12,20/07/2022 (Wed),5:00 PM,Sunny,,4,,Yes,Few strands on ground,1,20,0,0,1,7,8,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,1,2,0,0,3,5,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,2,1,1,0,6,8,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,3,1,0,0,1,2,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,4,0,1,0,5,6,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,5,0,2,0,2,4,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,6,0,0,1,2,3,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,7,0,0,0,4,4,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,8,0,0,0,5,5,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,9,0,1,0,4,5,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,10,0,0,0,6,6,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,11,2,0,0,3,5,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,12,2,0,0,3,5,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,13,1,1,0,5,7,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,14,2,1,0,3,6,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,15,1,1,0,3,5,
13,21/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,16,1,1,0,2,4,
